data,mes,ano,temp_min,temp_media,temp_max,amplitude_termica,orvalho,umidade_relativa_min,umidade_relativa_media,velocidade_vento_media,velocidade_vento_max,pressao_atm_media,precipitacao_total,obitos_feminino,obitos_masculino,obitos_infantil,obitos_total
15jul2014,7,2014,13.3,16.9,23.1,9.8000002,9.5,37,63.5,2.2,7.5999999,925.40002,0,21,22,,43
28jul2014,7,2014,13.3,17.1,21.200001,7.9000006,13.4,60,79.699997,2,8.8000002,926.70001,12.4,18,29,,47
23jul2014,7,2014,13.6,18.5,25.299999,11.699999,9.3000002,32,57.099998,2.5999999,8.6000004,924.09998,0,13,30,,43
14jul2014,7,2014,13.6,17.1,22.299999,8.6999989,9.8000002,38,63.799999,2.8,10.1,925.90002,0,27,23,,50
13jul2014,7,2014,13.7,17.6,22,8.3000002,11,48,66.300003,2.9000001,9.8000002,926.40002,0,20,15,,35
29jul2014,7,2014,13.8,17.5,23.299999,9.499999,11.4,48,68.300003,2.7,9.1999998,927.40002,0,32,24,,56
27jul2014,7,2014,13.8,15.2,17.5,3.6999998,14,84,92.900002,.40000001,4.5,924.59998,28.4,23,22,,45
18jul2014,7,2014,13.9,20.299999,27.9,14,10.5,30,56.5,1.4,9.1000004,923,0,20,12,,32
22jul2014,7,2014,14.3,18.200001,23.299999,8.999999,10.1,36,61.700001,3,8.1000004,925.20001,0,11,27,,38
19jul2014,7,2014,14.4,20.4,26.200001,11.800001,10.4,32,54.799999,1.2,8.3000002,922.29999,0,13,25,,38
04jul2014,7,2014,14.5,20.9,27.6,13.1,11.1,28,56.5,1.8,7.5,924.09998,0,23,21,,44
11jul2014,7,2014,14.6,19.200001,25.299999,10.699999,12.6,43,67.5,1.6,9.3999996,921.20001,0,24,24,,48
16jul2014,7,2014,14.7,18.1,24.799999,10.099999,10.4,38,62.299999,2.5,8.1000004,925.29999,0,19,19,,38
17jul2014,7,2014,14.8,19.5,25.9,11.099999,10.5,31,58.900002,1.6,7,925.09998,0,18,26,,44
26jul2014,7,2014,14.9,15.8,17.6,2.7000008,14.1,72,89.699997,1,5.9000001,923.20001,4.4000001,24,34,,58
02jul2014,7,2014,15,21.4,29,14,10.2,23,52.299999,1,5.5999999,921,0,11,13,,24
06jul2014,7,2014,15,19.200001,25.6,10.6,10.8,32,60.400002,2.5,7.5999999,925,0,22,17,,39
24jul2014,7,2014,15.1,19.6,27,11.9,12.1,34,64.400002,2.5,7.6999998,921.5,0,14,28,,42
08jul2014,7,2014,15.3,19.9,25.6,10.3,12.5,42,63.099998,2.5,8.5,925.09998,0,21,20,,41
01jul2014,7,2014,15.3,21,28.200001,12.900001,11.5,27,58.299999,1,7.5,919.59998,0,30,32,,62
20jul2014,7,2014,15.5,19.6,26.200001,10.700001,12.1,37,63.599998,2.3,8.1000004,922.79999,0,16,16,,32
21jul2014,7,2014,15.6,19.200001,25.200001,9.6000004,12.1,37,65.099998,2.8,9,924,0,19,18,1,38
09jul2014,7,2014,16,19.799999,24.799999,8.7999992,12.4,40,63.5,2.5999999,8.3999996,923.29999,0,20,23,,43
05jul2014,7,2014,16,19.5,24.1,8.1000004,10.7,29,58.099998,2.8,9.8000002,924,0,19,27,,46
25jul2014,7,2014,16,17.200001,20.200001,4.2000008,14.4,60,84,1.5,9.3999996,921.59998,21.4,20,20,,40
10jul2014,7,2014,16,19.6,25,9,12.2,41,63.700001,1.8,7,921.70001,0,19,26,,45
07jul2014,7,2014,17.1,20.299999,25.299999,8.1999989,11.9,36,60.200001,3,11.4,925.70001,0,26,13,1,40
03jul2014,7,2014,18.200001,22.200001,28.799999,10.599998,12.2,29,55.200001,1.9,7.0999999,923.29999,0,18,19,,37
09aug2014,8,2014,10.5,17.9,24.6,14.1,5.4000001,27,45.599998,2.3,10.3,923.5,0,22,30,,52
08aug2014,8,2014,10.7,18.299999,27.700001,17,5.9000001,17,50.599998,1.4,8.3000002,923.5,0,23,24,,47
07aug2014,8,2014,12.2,17,23.6,11.400001,6.5,30,51.900002,2,7.5,925.59998,0,18,25,,43
